"","bene_count","bene_count_ge65","bene_count_ge65_suppress_flag","description_flag","drug_name","ge65_suppress_flag","generic_name","npi","nppes_provider_city","nppes_provider_first_name","nppes_provider_last_org_name","nppes_provider_state","specialty_desc","total_30_day_fill_count","total_30_day_fill_count_ge65","total_claim_count","total_claim_count_ge65","total_day_supply","total_day_supply_ge65","total_drug_cost","total_drug_cost_ge65"
"593",22,NA,"*","S","METHADONE HCL","","METHADONE HCL",1497177406,"FAIRFAX","CANDY","RUBIO CESPEDES","VA","Physician Assistant",83.3,31,83,31,2480,910,1798.63,641.57
"594",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1629007869,"RICHMOND","PETER","STEFANIK","VA","Internal Medicine",11,0,11,0,330,0,207.2,0
"595",24,NA,"*","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1962458760,"VIRGINIA BEACH","KENNETH","HALLMAN","VA","Addiction Medicine",207.5,13,207,13,4860,210,76015.62,3086.74
"596",NA,NA,"*","T","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1326026816,"CHESTERFIELD","DENNIS","PETROCELLI","VA","Psychiatry & Neurology",26,13,26,13,780,390,10001.22,2716.8
"597",NA,NA,"*","S","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1235100025,"PENNINGTON GAP","WAYNE","VANZEE","VA","Internal Medicine",161,12,161,12,2450,360,29815.65,3340.37
"598",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1871652412,"FALLS CHURCH","SCOTT","BARTRAM","VA","Family Practice",26,26,26,26,735,735,658.5,658.5
"599",NA,NA,"#","S","METHADONE HCL","#","METHADONE HCL",1811989023,"CHARLOTTESVILLE","CYNTHIA","RICHARDS","VA","Family Practice",13,NA,13,NA,390,NA,385.42,NA
"600",NA,NA,"#","S","METHADONE HCL","#","METHADONE HCL",1902880370,"GALAX","KENNETH","CLARK","VA","Internal Medicine",21,NA,21,NA,607,NA,1150.64,NA
"601",NA,0,"","S","PENTAZOCINE-NALOXONE HCL","","PENTAZOCINE HCL/NALOXONE HCL",1497791669,"VIRGINIA BEACH","TRACEY","PENNINGTON","VA","Physical Medicine and Rehabilitation",28,0,28,0,370,0,3221.19,0
"602",NA,NA,"#","S","BUPRENORPHINE-NALOXONE","#","BUPRENORPHINE HCL/NALOXONE HCL",1962458760,"VIRGINIA BEACH","KENNETH","HALLMAN","VA","Addiction Medicine",14,NA,14,NA,374,NA,5040.31,NA
"603",12,NA,"*","S","METHADONE HCL","","METHADONE HCL",1376867051,"CHARLOTTESVILLE","REZA","SALAJEGHEH","VA","Anesthesiology",26.2,14.1,26,14,762,424,467.9,323.33
"604",12,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1487049391,"RICHMOND","WENDY","THOMPSON","VA","Nurse Practitioner",31,NA,31,NA,771,NA,421.5,NA
"605",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1609872993,"ALEXANDRIA","GARY","DAVIDSON","VA","Family Practice",28,0,28,0,840,0,591.8,0
"606",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1063409506,"ABINGDON","MARTIN","MONAHAN","VA","Internal Medicine",11,0,11,0,330,0,205.15,0
"607",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1528039054,"ABINGDON","JAMES","GARDNER","VA","Family Practice",59.2,14,55,14,1776,420,1035.35,88.87
"608",35,NA,"*","S","SUBOXONE","*","BUPRENORPHINE HCL/NALOXONE HCL",1720016389,"APPALACHIA","RODOLFO","CARTAGENA","VA","Obstetrics/Gynecology",142.3,NA,142,NA,1693,NA,29450.29,NA
"609",NA,NA,"#","S","BUTRANS","#","BUPRENORPHINE",1568802338,"ABINGDON","JENNIFER","WIDENER","VA","Nurse Practitioner",15,NA,15,NA,426,NA,6265.54,NA
"610",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1164427712,"CHARLOTTESVILLE","STEVE","FETCHO","VA","Nurse Practitioner",14,0,14,0,420,0,439.91,0
"611",NA,0,"","S","BUPRENORPHINE HCL","","BUPRENORPHINE HCL",1366686180,"BIG STONE GAP","JOHN","STRANGE","VA","Family Practice",59,0,59,0,532,0,1776.56,0
"612",NA,NA,"*","S","BUTRANS","*","BUPRENORPHINE",1801091236,"WILLIAMSBURG","YU","GUAN","VA","Family Practice",18,NA,18,NA,506,NA,8270.98,NA
"613",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1184734154,"HARRISONBURG","ILIJA","RAKARIC","VA","Internal Medicine",13,13,13,13,390,390,364.97,364.97
"614",NA,0,"","S","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1528025822,"DANVILLE","WILLIAM","TROST","VA","Psychiatry",12,0,12,0,93,0,624.55,0
"615",NA,NA,"#","S","METHADONE HCL","#","METHADONE HCL",1659379774,"MONETA","KATHRYN","HUMPHREYS","VA","Family Practice",23,NA,23,NA,500,NA,300.36,NA
"616",15,NA,"*","S","BUTRANS","*","BUPRENORPHINE",1528383122,"NORFOLK","SUN DUCK","KWON","VA","Physical Medicine and Rehabilitation",52,NA,52,NA,1472,NA,17503.67,NA
"617",NA,NA,"#","S","BUTRANS","#","BUPRENORPHINE",1295706299,"WISE","MICHAEL","WHEATLEY","VA","Family Practice",24,NA,24,NA,643,NA,7963.87,NA
"618",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1851382873,"DANVILLE","FRANCIS","WALSH","VA","Neurology",46,11,46,11,1380,330,887.08,128.84
"619",18,NA,"*","S","METHADONE HCL","","METHADONE HCL",1083654669,"VIRGINIA BEACH","GARFIELD","SAMUELS","VA","Internal Medicine",132.6,23,132,23,3754,629,2107.12,253.1
"620",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1922056290,"DANVILLE","KAREN","MCCLURE","VA","Nurse Practitioner",23,0,22,0,690,0,510.34,0
"621",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1366641672,"WOODSTOCK","SUSAN","MOOSE","VA","Internal Medicine",25.4,NA,25,NA,735,NA,849.84,NA
"622",NA,0,"","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1164698213,"VIRGINIA BEACH","JOHN","SCANLON","VA","Family Practice",17,0,17,0,510,0,10997.93,0
"623",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1336197763,"GRETNA","KAREN","WILKINSON","VA","Nurse Practitioner",11,11,11,11,330,330,69.6,69.6
"624",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1508833682,"ASHLAND","ROCHELLE","KLINGER","VA","Psychiatry",15,0,15,0,451,0,555.36,0
"625",12,0,"","S","METHADONE HCL","","METHADONE HCL",1225219876,"OAKTON","ZUBAIR","LATIF","VA","Internal Medicine",68,0,68,0,2020,0,641.82,0
"626",NA,0,"","S","BUPRENORPHINE HCL","","BUPRENORPHINE HCL",1790752277,"CHESTERFIELD","SHEILA","FUREY","VA","Neuropsychiatry",14,0,14,0,420,0,1799.53,0
"627",27,NA,"*","S","METHADONE HCL","","METHADONE HCL",1720330087,"HARRISONBURG","CAROLE","FUNK","VA","Nurse Practitioner",118.8,34.8,117,33,3210,926,1762.77,493.17
"628",NA,NA,"*","S","BUTRANS","*","BUPRENORPHINE",1447233978,"PORTSMOUTH","IAN","GUNYEA","VA","Physician Assistant",18,NA,18,NA,505,NA,5374.99,NA
"629",15,NA,"*","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1710983283,"RICHMOND","CHARLES","BONNER","VA","Physical Medicine and Rehabilitation",114,11,114,11,3027,330,51915.17,4330.71
"630",15,NA,"*","S","BUTRANS","","BUPRENORPHINE",1497065833,"NEWPORT NEWS","VICTORIOUS","WHITE","VA","Nurse Practitioner",59,17,59,17,1661,476,23283.17,5330.44
"631",NA,0,"","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1528039054,"ABINGDON","JAMES","GARDNER","VA","Family Practice",65,0,65,0,531,0,8025.28,0
"632",NA,NA,"#","S","BUTRANS","#","BUPRENORPHINE",1891196069,"VIRGINIA BEACH","HILLARY","RIPOLL","VA","Physician Assistant",18,NA,18,NA,504,NA,6805.16,NA
"633",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1871656819,"VIRGINIA BEACH","BARBARA","PARKS","VA","Internal Medicine",18,18,18,18,540,540,247.24,247.24
"634",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1831205707,"FALLS CHURCH","TRI","PHAM","VA","Internal Medicine",14,14,14,14,212,212,223.19,223.19
"635",NA,NA,"*","S","BUTRANS","*","BUPRENORPHINE",1043465974,"FALLS CHURCH","AUSTIN","CHURCHILL","VA","Physical Medicine and Rehabilitation",15,NA,15,NA,418,NA,7050.51,NA
"636",NA,NA,"*","S","BUTRANS","","BUPRENORPHINE",1548298847,"CHESTER","MELISSA","CLAYTON","VA","Nurse Practitioner",12,12,12,12,344,344,4004.65,4004.65
"637",76,15,"","S","METHADONE HCL","","METHADONE HCL",1417165143,"MECHANICSVILLE","STEVEN","DESCHNER","VA","Physical Medicine and Rehabilitation",311,40,311,40,9023,1159,5557.61,799.17
"638",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1043465974,"FALLS CHURCH","AUSTIN","CHURCHILL","VA","Physical Medicine and Rehabilitation",12,NA,12,NA,345,NA,334.08,NA
"639",26,NA,"*","S","METHADONE HCL","","METHADONE HCL",1336305002,"STAFFORD","VIPUL","MANGAL","VA","Anesthesiology",112,22,112,22,3277,645,1781.17,431.01
"640",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1053385922,"BLACKSBURG","RICHARD","WILSON","VA","Physical Medicine and Rehabilitation",40.3,0,40,0,1210,0,2068.42,0
"641",NA,0,"","S","BUTRANS","","BUPRENORPHINE",1255392528,"FREDERICKSBURG","KIA","WILLIAMS","VA","Nurse Practitioner",14,0,14,0,378,0,2763.88,0
"642",NA,NA,"*","S","BUTRANS","","BUPRENORPHINE",1932195369,"RICHMOND","RICHARD","PANG","VA","Internal Medicine",23,23,23,23,641,641,6810.08,6810.08
"643",NA,NA,"#","S","METHADONE HCL","#","METHADONE HCL",1205081395,"ROANOKE","ANDREA","HARRELSON","VA","Nurse Practitioner",15,NA,15,NA,284,NA,263.25,NA
"644",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1366531204,"MIDDLEBROOK","KENNETH","PERKINS","VA","Physician Assistant",22,NA,22,NA,660,NA,465.51,NA
"645",NA,NA,"*","T","BUTRANS","*","BUPRENORPHINE",1134285927,"RICHMOND","PAUL","SPECTOR","VA","Psychiatry & Neurology",23,NA,23,NA,658,NA,10247,NA
"646",NA,0,"","S","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1184607343,"ROANOKE","DAVID","HARTMAN","VA","Psychiatry",64,0,64,0,1473,0,20809.41,0
"647",NA,NA,"*","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1255371613,"DUMFRIES","FRANCESSE","BATAILLE","VA","Internal Medicine",36,13,36,13,1078,388,15535.74,5604.38
"648",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1346393378,"ELKTON","ROSA","KING","VA","Family Practice",48,12,48,12,1100,360,563.87,126.4
"649",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1508836933,"STAUNTON","BARRY","MUNSEY","VA","Physician Assistant",26,NA,26,NA,780,NA,564.02,NA
"650",NA,NA,"*","S","BUTRANS","*","BUPRENORPHINE",1831579655,"ARLINGTON","KAITLYN","BETHUNE","VA","Nurse Practitioner",11,NA,11,NA,310,NA,3865.26,NA
"651",31,12,"","S","METHADONE HCL","","METHADONE HCL",1447233978,"PORTSMOUTH","IAN","GUNYEA","VA","Physician Assistant",80,35,80,35,2371,1021,1847.47,758.12
"652",NA,0,"","S","BUPRENORPHINE HCL","","BUPRENORPHINE HCL",1235100025,"PENNINGTON GAP","WAYNE","VANZEE","VA","Internal Medicine",43,0,43,0,1206,0,4856.33,0
"653",NA,0,"","T","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1366587198,"WILLIS","MARIA","ENCARNACION","VA","Family Medicine",35,0,35,0,1050,0,24285.77,0
"654",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1588662613,"MONETA","VIRGINIA","BLANKS","VA","Family Practice",43.1,NA,40,NA,1294,NA,1914.26,NA
"655",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1356366645,"LYNCHBURG","HARB","RANK","VA","Family Practice",13,0,13,0,390,0,398.14,0
"656",NA,NA,"#","S","METHADONE HCL","#","METHADONE HCL",1487623583,"MARTINSVILLE","WILLIAM","LEWIS","VA","Internal Medicine",14,NA,14,NA,403,NA,668.57,NA
"657",11,NA,"#","S","BUTRANS","#","BUPRENORPHINE",1477983815,"FAIRFAX","NIDHI","GOVIL","VA","Physician Assistant",25,NA,25,NA,704,NA,5820.13,NA
"658",NA,0,"","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1558689927,"CEDAR BLUFF","JAMES","REINHARD","VA","Psychiatry",13,0,13,0,137,0,1444.67,0
"659",NA,0,"","S","PENTAZOCINE-NALOXONE HCL","","PENTAZOCINE HCL/NALOXONE HCL",1467434944,"ROANOKE","MARK","SCHLEUPNER","VA","Internal Medicine",12,0,12,0,360,0,3346.07,0
"660",11,NA,"*","S","METHADONE HCL","","METHADONE HCL",1699731521,"HARRISONBURG","ANDREW","WALIGORA","VA","Nephrology",36,18,36,18,791,524,304.1,190.16
"661",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1386737294,"BUENA VISTA","THOMAS","HAMILTON","VA","Family Practice",24,NA,24,NA,720,NA,460.05,NA
"662",NA,NA,"#","S","BUTRANS","#","BUPRENORPHINE",1720278500,"NEWPORT NEWS","JEREMY","HOFF","VA","Physical Medicine and Rehabilitation",17,NA,17,NA,482,NA,5995.64,NA
"663",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1336140508,"FREDERICKSBURG","RICHARD","AMEEN","VA","Internal Medicine",31,31,23,23,930,930,407.75,407.75
"664",NA,NA,"*","S","SUBOXONE","*","BUPRENORPHINE HCL/NALOXONE HCL",1831184696,"NASSAWADOX","JOHN","OGRAM","VA","Psychiatry",11,NA,11,NA,225,NA,3136.32,NA
"665",NA,0,"","S","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1821070475,"SALEM","STELLA","BASSEY","VA","Psychiatry",15,0,15,0,340,0,3438.71,0
"666",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1871570002,"CHARLOTTESVILLE","ANN","KLECAN","VA","Family Practice",12,0,12,0,330,0,318.6,0
"667",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1679523799,"FREDERICKSBURG","RYSZARD","ZEBRAK","VA","Psychiatry",26,0,26,0,780,0,795.77,0
"668",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1407900400,"CHARLOTTESVILLE","JAMES","CLARK","VA","Internal Medicine",23,NA,23,NA,690,NA,450.31,NA
"669",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1235136920,"STUART","RALPH","KRAMER","VA","General Practice",47,35,47,35,1410,1050,1374.49,1140.03
"670",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1285716712,"GLOUCESTER","ROBERT","DAVIS","VA","Internal Medicine",11.4,11.4,11,11,342,342,151.16,151.16
"671",NA,0,"","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1922097286,"FREDERICKSBURG","CHERIAN","JOSEPH","VA","Geriatric Medicine",29,0,29,0,204,0,1467.77,0
"672",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1518025436,"WOODBRIDGE","ZOKA","AFSAR","VA","Internal Medicine",14,NA,14,NA,420,NA,1309.84,NA
"673",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1649670423,"WINCHESTER","TAMARA","SHEARROW","VA","Nurse Practitioner",34,NA,34,NA,777,NA,1392.74,NA
"674",NA,0,"","T","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1336343177,"ROANOKE","PAUL","DELAPP","VA","Psychiatry & Neurology",13,0,13,0,305,0,6356.66,0
"675",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1265515860,"RICHMOND","KAREN","HAYES","VA","Nurse Practitioner",29.1,NA,29,NA,859,NA,431.56,NA
"676",NA,NA,"#","S","METHADONE HCL","#","METHADONE HCL",1295702512,"CHRISTIANSBURG","HARRY","MCCOY","VA","Medical Oncology",17,NA,17,NA,510,NA,166.2,NA
"677",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1235156084,"WOODBRIDGE","SAMAD","ORAEE","VA","Neurology",23.4,NA,22,NA,671,NA,511.86,NA
"678",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1922097286,"FREDERICKSBURG","CHERIAN","JOSEPH","VA","Geriatric Medicine",92,NA,92,NA,1029,NA,682.08,NA
"679",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1891831657,"MC LEAN","TIFFANY","LOE","VA","Physician Assistant",15,NA,15,NA,446,NA,528.45,NA
"680",19,NA,"*","S","METHADONE HCL","","METHADONE HCL",1992021216,"FISHERSVILLE","RUZBEH","TOUSSI","VA","Pain Management",49.1,24,49,24,1351,653,895.68,401.92
"681",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1487817466,"BURKE","CHANTAL","LEWIS","VA","Family Practice",11,NA,11,NA,328,NA,351.14,NA
"682",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1467428375,"NORFOLK","ANTONIO","QUIDGLEY-NEVARES","VA","Physical Medicine and Rehabilitation",31,NA,31,NA,827,NA,749.05,NA
"683",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1730397977,"WARRENTON","DANIEL","HELLER","VA","Pain Management",11,0,11,0,330,0,179.18,0
"684",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1609932318,"NORFOLK","ANTONNETTE","VILLAFLOR-ZITOUNI","VA","Physician Assistant",14,NA,14,NA,420,NA,334.7,NA
"685",12,NA,"*","S","METHADONE HCL","","METHADONE HCL",1346278611,"STUARTS DRAFT","GEORGE","DAMEWOOD","VA","Family Practice",50.4,23,50,23,1512,690,1112.28,432.68
"686",NA,NA,"#","S","BUTRANS","#","BUPRENORPHINE",1083697502,"LYNCHBURG","EUGENE","WOLANSKI","VA","Internal Medicine",23.8,NA,20,NA,606,NA,7498.54,NA
"687",NA,NA,"*","S","BUPRENORPHINE-NALOXONE","*","BUPRENORPHINE HCL/NALOXONE HCL",1144214958,"WARRENTON","ASHUTOSH","DIWAN","VA","Family Practice",12.4,NA,12,NA,348,NA,4002.42,NA
"688",20,NA,"*","S","METHADONE HCL","","METHADONE HCL",1619969227,"NORFOLK","ROBERT","HANSEN","VA","Neurology",117,22,116,22,3480,638,5749.01,660.56
"689",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1144213026,"VIRGINIA BEACH","CELESTEANN","BREMER","VA","Hematology/Oncology",12,NA,12,NA,360,NA,580.85,NA
"690",NA,0,"","S","BUTRANS","","BUPRENORPHINE",1427106624,"COLONIAL HEIGHTS","KEVIN","HICKS","VA","Rheumatology",17.4,0,12,0,506,0,6844.64,0
"691",25,0,"","S","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1720016389,"APPALACHIA","RODOLFO","CARTAGENA","VA","Obstetrics/Gynecology",103,0,103,0,898,0,15498.24,0
"692",44,22,"","S","METHADONE HCL","","METHADONE HCL",1275746026,"CHARLOTTESVILLE","JUSTIN","FORD","VA","Anesthesiology",108,59,108,59,3165,1753,2199.58,1112.2
"693",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1760825202,"RICHMOND","NIDJAN","AQUINO","VA","Nurse Practitioner",106,NA,106,NA,2017,NA,2191.39,NA
"694",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1043405160,"WINCHESTER","BRIAN","LAPP","VA","Physician Assistant",55,NA,53,NA,1648,NA,1132.15,NA
"695",NA,NA,"*","S","NALTREXONE HCL","","NALTREXONE HCL",1447388665,"SPRINGFIELD","CYNTHIA","SHAPPELL","VA","Psychiatry",41.1,12,41,12,1211,360,1632.41,428.56
"696",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1720083785,"ROANOKE","CLYDE","WOODYARD","VA","Physician Assistant",28.3,NA,28,NA,802,NA,371.77,NA
"697",NA,NA,"*","S","RELISTOR","","METHYLNALTREXONE BROMIDE",1134198187,"CHESTER","GOHAR","ABBASI","VA","Internal Medicine",25,25,25,25,175,175,5837.89,5837.89
"698",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1144214958,"WARRENTON","ASHUTOSH","DIWAN","VA","Family Practice",26,0,26,0,709,0,563.93,0
"699",NA,NA,"#","S","METHADONE HCL","#","METHADONE HCL",1720166994,"BROADWAY","MARK","MAST","VA","Family Practice",20,NA,20,NA,367,NA,212.23,NA
"700",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1831289479,"RICHMOND","RALPH","CLARK","VA","Internal Medicine",11,0,11,0,330,0,688.27,0
"701",NA,NA,"*","S","BUTRANS","","BUPRENORPHINE",1730170028,"WAYNESBORO","CHRISTOPHER","HECK","VA","Family Practice",13,13,13,13,349,349,5963.41,5963.41
"702",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1639212236,"ARLINGTON","EBONI","STANLEY-JOLLY","VA","Physical Medicine and Rehabilitation",32,0,32,0,883,0,743.84,0
"703",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1720090335,"CHARLOTTESVILLE","DAVID","CHESLER","VA","Internal Medicine",88.4,62.1,88,62,1734,1007,2250.84,635.95
"704",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1609871128,"NATHALIE","JUDITH","ANDERSON","VA","Family Practice",17,0,17,0,370,0,811.01,0
"705",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1154490787,"CHARLOTTESVILLE","PETER","HAM","VA","Family Practice",18,18,18,18,508,508,209.06,209.06
"706",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1760449193,"RICHMOND","PETER","COLEMAN","VA","Family Practice",28,12,28,12,694,356,823.79,475.7
"707",NA,NA,"*","S","RELISTOR","*","METHYLNALTREXONE BROMIDE",1295727105,"PORTSMOUTH","DONALD","HOLZER","VA","Neurology",14.9,NA,14,NA,398,NA,16148.75,NA
"708",16,NA,"*","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1467419184,"FAIRFAX","FRANCINE","HIGGS-SHIPMAN","VA","Internal Medicine",115,11,115,11,3171,315,56317.11,3831.51
"709",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1700870755,"LEESBURG","JOHN","ANDREW","VA","Internal Medicine",51,51,51,51,1124,1124,1431.2,1431.2
"710",NA,NA,"*","S","BUTRANS","","BUPRENORPHINE",1255394557,"PULASKI","MATTHEW","KAATZ","VA","Family Practice",25,13,25,13,696,364,8799.91,2526.35
"711",13,NA,"*","S","METHADONE HCL","","METHADONE HCL",1518127927,"ROANOKE","MAZEN","MADHOUN","VA","Family Practice",128,82,128,82,1780,1192,1245.46,745.51
"712",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1356539472,"WINCHESTER","MICHON","BECHAMPS","VA","Internal Medicine",12,0,12,0,360,0,390.54,0
"713",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1003925108,"PULASKI","IDA","SUTHERLAND","VA","Nurse Practitioner",25,0,25,0,750,0,253.42,0
"714",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1780646935,"NORFOLK","BRUCE","KLEIMAN","VA","Internal Medicine",23,23,23,23,300,300,584.3,584.3
"715",NA,0,"","S","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1467612218,"CHRISTIANSBURG","YONGYUE","CHEN","VA","Psychiatry",32,0,32,0,593,0,7539.35,0
"716",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1144387770,"FRONT ROYAL","PATRICIA","DALY","VA","Endocrinology",11,11,11,11,330,330,174.34,174.34
"717",NA,NA,"*","S","BUPRENORPHINE HCL","","BUPRENORPHINE HCL",1538229497,"OAKTON","DAVID","ALLINGHAM","VA","Emergency Medicine",107,15,107,15,1569,446,8417.87,1309.48
"718",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1952502759,"FAIRFAX","WINSTON","LIAW","VA","Family Practice",12.2,0,12,0,367,0,738.66,0
"719",NA,0,"","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1184607343,"ROANOKE","DAVID","HARTMAN","VA","Psychiatry",75,0,75,0,757,0,12083.3,0
"720",NA,0,"","S","BUPRENORPHINE HCL","","BUPRENORPHINE HCL",1376697573,"CHRISTIANSBURG","ROBERT","DEAN","VA","Psychiatry",23,0,23,0,690,0,2736.38,0
"721",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1003807496,"ROANOKE","ADEL","SALAMA","VA","Internal Medicine",17,17,17,17,390,390,369.45,369.45
"722",NA,NA,"*","S","BUTRANS","","BUPRENORPHINE",1144225277,"CHARLOTTESVILLE","KURTIS","ELWARD","VA","Family Practice",13,13,13,13,364,364,5253.18,5253.18
"723",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1821095498,"MANASSAS","JUDITH","GORE","VA","Nurse Practitioner",70,24,70,24,1531,720,894.22,454.92
"724",NA,NA,"*","T","BUPRENORPHINE HCL","*","BUPRENORPHINE HCL",1992790406,"BLACKSBURG","JANN","HOLWICK","VA","Internal Medicine",120,NA,120,NA,2379,NA,17810.46,NA
"725",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1417920984,"PENNINGTON GAP","JOHN","LITTON","VA","Family Practice",11,11,11,11,330,330,310.54,310.54
"726",22,NA,"*","S","METHADONE HCL","","METHADONE HCL",1669518205,"DANVILLE","VICTOR","OWUSU-YAW","VA","Neurology",110,50,109,50,3295,1500,1741.24,936.14
"727",11,NA,"*","S","METHADONE HCL","","METHADONE HCL",1609912351,"RICHMOND","JAWAD","BHATTI","VA","Internal Medicine",94,28,94,28,2697,815,1173.11,419.73
"728",NA,NA,"*","S","BUTRANS","*","BUPRENORPHINE",1174643662,"ROANOKE","CHRISTOPHER","WEBB","VA","Nurse Practitioner",18,NA,18,NA,482,NA,8298.48,NA
"729",23,NA,"*","S","METHADONE HCL","","METHADONE HCL",1063451664,"WOODBRIDGE","JOHN","NAULTY","VA","Anesthesiology",161.4,46,161,46,4776,1372,2302.05,680.92
"730",NA,0,"","T","METHADONE HCL","","METHADONE HCL",1851356075,"GLEN ALLEN","JOY","FARAH","VA","General Practice",21,0,21,0,556,0,542.44,0
"731",NA,NA,"*","S","BUTRANS","*","BUPRENORPHINE",1003812082,"VIRGINIA BEACH","BETH","WINKE","VA","Physical Medicine and Rehabilitation",18.4,NA,13,NA,532,NA,4872.25,NA
"732",NA,NA,"#","S","METHADONE HCL","#","METHADONE HCL",1760590012,"HERNDON","NADEEM","QAZI","VA","Internal Medicine",26,NA,26,NA,331,NA,403.81,NA
"733",NA,0,"","S","BUTRANS","","BUPRENORPHINE",1356539472,"WINCHESTER","MICHON","BECHAMPS","VA","Internal Medicine",12,0,12,0,352,0,6128.1,0
"734",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1851518831,"DISPUTANTA","TONY","KING","VA","Family Practice",17,0,17,0,510,0,1173.31,0
"735",NA,0,"","S","BUPRENORPHINE HCL","","BUPRENORPHINE HCL",1841409588,"RICHMOND","SHAMA","SAIYED","VA","Psychiatry",32,0,32,0,595,0,3011.54,0
